Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
Treehouse of Horror XIV	2003-11-02	15	1	16.22	7.4	Steven Dean Moore	John Swartzwelder
Mountain of Madness	1997-02-02	8	12	9.1	8.6	Mark Kirkland	John Swartzwelder
Today I Am a Clown	2003-12-07	15	6	10.5	6.6	Nancy Kruse	Joel H. Cohen
Marge vs. Singles, Seniors, Childless Couples and Teens and Gays	2004-01-04	15	8	12.0	6.7	Bob Anderson	Jon Vitti
Diatribe of a Mad Housewife	2004-01-25	15	10	10.6	7.3	Mark Kirkland	Robin J. Stein
All's Fair in Oven War	2004-11-14	16	2	11.64	7.0	Mark Kirkland	Matt Selman
Bart-Mangled Banner	2004-05-16	15	21	8.7	6.2	Steven Dean Moore	John Frink
A Star Is Torn	2005-05-08	16	18	8.72	6.8	Nancy Kruse	Carolyn Omine
See Homer Run	2005-11-20	17	6	10.3	6.9	Nancy Kruse	Stephanie Gillis
Milhouse Doesn't Live Here Anymore	2004-02-15	15	12	9.4	7.3	Matthew Nastuk	Julie Chambers & David Chambers
The Ziff Who Came to Dinner	2004-03-14	15	14	10.7	6.9	Nancy Kruse	Deb Lacusta & Dan Castellaneta
Homer and Ned's Hail Mary Pass	2005-02-06	16	8	23.07	6.4	Steven Dean Moore	Tim Long
The Girl Who Slept Too Little	2005-09-18	17	2	9.79	6.9	Raymond S. Persi	John Frink
The Wandering Juvie	2004-03-28	15	16	10.5	6.9	Lauren MacMullan	John Frink & Don Payne
Milhouse of Sand and Fog	2005-09-25	17	3	10.19	7.0	Steven Dean Moore	Patric M. Verrone
Treehouse of Horror XVI	2005-11-06	17	4	11.63	7.3	David Silverman	Marc Wilmore
Homer's Paternity Coot	2006-01-08	17	10	10.1	6.7	Mike B. Anderson	Joel H. Cohen
She Used to Be My Girl	2004-12-05	16	4	10.81	6.6	Matthew Nastuk	Tim Long
My Big Fat Geek Wedding	2004-04-18	15	17	9.2	6.7	Mark Kirkland	Kevin Curran
Future-Drama	2005-04-17	16	15	8.31	7.3	Mike B. Anderson	Matt Selman
The Italian Bob	2005-12-11	17	8	10.39	7.0	Mark Kirkland	John Frink
Simple Simpson	2004-05-02	15	19	9.5	7.3	Jim Reardon	Jon Vitti
We're on the Road to D'ohwhere	2006-01-29	17	11	9.04	7.0	Nancy Kruse	Kevin Curran
